Id: a1, Group: adulti, Belt: gialla, Peso: 78
Id: r26, Group: ragazzi, Belt: gialla, Peso: 46
Id: r27, Group: ragazzi, Belt: gialla, Peso: 46
Id: r28, Group: ragazzi, Belt: gialla, Peso: 60
Id: r29, Group: ragazzi, Belt: blu, Peso: 50
Id: r30, Group: ragazzi, Belt: gialla, Peso: 69
Id: r31, Group: ragazzi, Belt: nera, Peso: 54
Id: r32, Group: ragazzi, Belt: marrone, Peso: 61
Id: r33, Group: ragazzi, Belt: nera, Peso: 46
Id: r34, Group: ragazzi, Belt: verde, Peso: 70
Id: b1, Group: bambini, Belt: gialla, Peso: 16
Id: b2, Group: bambini, Belt: arancione, Peso: 16
Id: b3, Group: bambini, Belt: arancione, Peso: 13
Id: b4, Group: bambini, Belt: marrone, Peso: 10
Id: b5, Group: bambini, Belt: gialla, Peso: 30
Id: b6, Group: bambini, Belt: bianca, Peso: 12
Id: b7, Group: bambini, Belt: marrone, Peso: 32
Id: b8, Group: bambini, Belt: marrone, Peso: 17
Id: b9, Group: bambini, Belt: blu, Peso: 23
Id: b10, Group: bambini, Belt: nera, Peso: 16
Id: b11, Group: bambini, Belt: arancione, Peso: 15
Id: b12, Group: bambini, Belt: gialla, Peso: 18
Id: b13, Group: bambini, Belt: gialla, Peso: 24
Id: b14, Group: bambini, Belt: marrone, Peso: 24
Id: b15, Group: bambini, Belt: bianca, Peso: 27
Id: b16, Group: bambini, Belt: arancione, Peso: 15
Id: b17, Group: bambini, Belt: arancione, Peso: 30
Id: b18, Group: bambini, Belt: marrone, Peso: 23
Id: b19, Group: bambini, Belt: marrone, Peso: 23
Id: b20, Group: bambini, Belt: marrone, Peso: 35
Id: b21, Group: bambini, Belt: marrone, Peso: 16
Id: b22, Group: bambini, Belt: marrone, Peso: 12
Id: b23, Group: bambini, Belt: nera, Peso: 17
Id: b24, Group: bambini, Belt: arancione, Peso: 24
Id: b25, Group: bambini, Belt: marrone, Peso: 40
Id: b26, Group: bambini, Belt: gialla, Peso: 39
Id: b27, Group: bambini, Belt: verde, Peso: 36
Id: b28, Group: bambini, Belt: verde, Peso: 33
Id: b29, Group: bambini, Belt: verde, Peso: 35
Id: b30, Group: bambini, Belt: arancione, Peso: 14
Id: b31, Group: bambini, Belt: marrone, Peso: 23
Id: b32, Group: bambini, Belt: gialla, Peso: 21
Id: b33, Group: bambini, Belt: nera, Peso: 15
Id: b34, Group: bambini, Belt: verde, Peso: 15
Id: b35, Group: bambini, Belt: bianca, Peso: 12
Id: b36, Group: bambini, Belt: gialla, Peso: 14
Id: b37, Group: bambini, Belt: nera, Peso: 23
Id: b38, Group: bambini, Belt: bianca, Peso: 30
Id: b39, Group: bambini, Belt: gialla, Peso: 26
Id: b40, Group: bambini, Belt: gialla, Peso: 33
